col_id	uuid	name	sex	det	fam	ord	rank
JPL_A143	TSZ-JPL-d604a825-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604813c-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6048132-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6051d00-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604cf68-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604f608-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604f609-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604a82c-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6051cfc-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604f60a-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604a827-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A141	TSZ-JPL-468e4e90-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e2796-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468db2bc-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e9c77-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e7570-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468dd9b0-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468db2b7-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e9c75-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e4e9a-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e2794-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e00a7-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468db2ba-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468db2bd-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e7573-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e4e91-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e00a4-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468dd9ad-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e279d-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e4e97-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e00ab-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e9c76-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468dd9aa-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e4e96-e2ec-11e9-8a77-774a912b890a	empty					other
